# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "--countReadPairs" "-a" "/home/dagsdags/pipelines/rnaseq/practice/data/refs/22.gtf" "-o" "/home/dagsdags/pipelines/rnaseq/practice/output/counts.txt" "/home/dagsdags/pipelines/rnaseq/practice/data/bam/HBR_1.bam" "/home/dagsdags/pipelines/rnaseq/practice/data/bam/HBR_2.bam" "/home/dagsdags/pipelines/rnaseq/practice/data/bam/HBR_3.bam" "/home/dagsdags/pipelines/rnaseq/practice/data/bam/UHR_1.bam" "/home/dagsdags/pipelines/rnaseq/practice/data/bam/UHR_2.bam" "/home/dagsdags/pipelines/rnaseq/practice/data/bam/UHR_3.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/dagsdags/pipelines/rnaseq/practice/data/bam/HBR_1.bam	/home/dagsdags/pipelines/rnaseq/practice/data/bam/HBR_2.bam	/home/dagsdags/pipelines/rnaseq/practice/data/bam/HBR_3.bam	/home/dagsdags/pipelines/rnaseq/practice/data/bam/UHR_1.bam	/home/dagsdags/pipelines/rnaseq/practice/data/bam/UHR_2.bam	/home/dagsdags/pipelines/rnaseq/practice/data/bam/UHR_3.bam
ENSG00000237299.1	chr22;chr22;chr22;chr22	15541436;15558446;15575612;15577967	15541607;15558626;15575786;15578006	+;+;+;+	568	0	0	0	0	3	0
ENSG00000235759.1	chr22;chr22;chr22	15550904;15553211;15553691	15552887;15553586;15553838	-;-;-	2508	0	0	0	0	2	0
ENSG00000233408.1	chr22;chr22;chr22	15557577;15560156;15560525	15558591;15560264;15560694	-;-;-	1294	0	0	0	0	1	0
ENSG00000215268.3	chr22	15562017	15564276	-	2260	0	0	0	0	2	0
ENSG00000213727.3	chr22	15572089	15573265	-	1177	0	0	0	0	0	0
ENSG00000230643.1	chr22	15588361	15588478	+	118	0	0	0	0	0	0
ENSG00000230471.1	chr22;chr22;chr22	15600908;15604052;15604842	15602514;15604133;15604882	-;-;-	1730	0	0	0	0	3	0
ENSG00000231565.1	chr22	15611759	15613096	-	1338	0	0	0	0	1	1
ENSG00000226474.1	chr22	15615402	15615578	-	177	0	0	0	0	0	0
ENSG00000224435.2	chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22	15622601;15623987;15624539;15624956;15625472;15627332;15627650;15628382;15629738;15631430;15631919	15622712;15624071;15624674;15625094;15625901;15627410;15627716;15628586;15629891;15631538;15632051	-;-;-;-;-;-;-;-;-;-;-	1649	0	0	0	1	4	0
ENSG00000234381.1	chr22;chr22;chr22;chr22;chr22;chr22;chr22	15635180;15636011;15636546;15636800;15637381;15638852;15644204	15635311;15636067;15636714;15636865;15637459;15639043;15644330	-;-;-;-;-;-;-	822	0	0	0	0	2	0
ENSG00000198062.14	chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22	15690026;15690078;15690246;15690426;15695371;15695371;15695371;15695645;15695645;15695645;15697374;15698662;15698662;15698662;15700078;15700078;15700078;15702686;15702686;15702686;15708020;15708020;15708020;15709782;15709782;15709782;15710868;15710868;15710868;15719660;15719660;15719660;15721286;15721286;15721286	15690709;15690314;15690709;15690709;15695485;15695485;15695485;15695818;15695818;15695818;15697629;15698768;15698768;15698768;15700215;15700215;15700215;15702756;15702756;15702756;15708090;15708090;15708090;15709826;15709826;15709826;15711034;15711034;15711034;15719778;15719778;15719778;15721522;15721631;15721522	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2293	0	0	1	7	7	11
ENSG00000236666.1	chr22;chr22	15699361;15702960	15701482;15703403	-;-	2566	0	0	0	0	2	0
ENSG00000212216.1	chr22	15701459	15701565	+	107	0	0	0	0	0	0
ENSG00000241838.3	chr22	15721486	15722608	+	1123	0	0	0	2	1	2
ENSG00000225255.6	chr22;chr22;chr22;chr22;chr22;chr22	15746630;15754388;15765687;15774712;15778010;15778010	15746899;15754453;15765780;15774848;15778297;15778297	+;+;+;+;+;+	855	0	0	0	3	1	0
ENSG00000235992.1	chr22;chr22	15749156;15750372	15749798;15750825	-;-	1097	0	0	0	0	1	0
ENSG00000206195.10	chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22	15784959;15784963;15784968;15784992;15787172;15787172;15787172;15788552;15788552;15788585;15788820;15788820;15788820;15790661;15790661;15790685;15790709;15791010;15791017;15791017;15791017;15791017;15791628;15815476;15815476;15815476;15815476;15818493;15818574;15826142;15826142;15826142	15785057;15785057;15785057;15785057;15787282;15787282;15787282;15788699;15788699;15788699;15788931;15788931;15788931;15790798;15790798;15790798;15790798;15791152;15791152;15791152;15791152;15791152;15791814;15815566;15815566;15815566;15815566;15819134;15819165;15827434;15827708;15829984	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5545	10	4	8	197	158	176
ENSG00000271127.1	chr22	15796959	15798346	+	1388	0	1	0	16	9	19
ENSG00000232775.6	chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22	15805263;15805812;15805847;15806356;15813394;15813394;15815575;15820621	15806011;15806011;15806011;15806503;15813481;15813481;15815897;15820884	-;-;-;-;-;-;-;-	1572	0	1	3	25	24	24
ENSG00000272872.1	chr22	15823197	15823890	+	694	4	2	0	98	38	49
ENSG00000271672.1	chr22	15826566	15827187	+	622	0	0	0	0	0	0
ENSG00000223875.2	chr22;chr22;chr22;chr22;chr22	15852990;15859050;15876489;15877315;15893137	15853221;15859171;15876687;15877448;15893942	+;+;+;+;+	1493	0	0	0	5	3	0
ENSG00000215270.3	chr22	15854195	15855243	-	1049	0	0	0	11	6	6
ENSG00000229286.1	chr22	15901791	15901911	+	121	0	0	0	0	0	0
ENSG00000233866.1	chr22;chr22	15914721;15915641	15915146;15915800	-;-	586	0	0	0	0	3	0
ENSG00000278188.1	chr22	16141767	16141872	+	106	0	0	0	0	0	0
ENSG00000278335.1	chr22	16232345	16232425	+	81	0	0	0	0	0	0
ENSG00000225293.1	chr22;chr22;chr22;chr22	16387694;16390136;16390370;16390641	16387839;16390220;16390495;16390887	+;+;+;+	604	0	0	0	0	2	0
ENSG00000226160.1	chr22	16405330	16405417	+	88	0	0	0	0	0	0
ENSG00000229658.1	chr22;chr22;chr22;chr22	16423943;16424525;16425245;16425518	16424108;16425212;16425488;16426031	+;+;+;+	1612	0	0	0	0	1	0
ENSG00000227367.1	chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22	16428947;16433326;16434364;16438287;16439313;16459930;16472852;16474088;16476699	16429161;16433461;16434454;16438437;16439391;16460104;16472978;16474229;16476870	-;-;-;-;-;-;-;-;-	1288	0	0	0	0	1	0
ENSG00000280263.1	chr22	16486985	16488322	+	1338	0	0	0	0	0	0
ENSG00000235969.1	chr22;chr22;chr22	16503304;16508155;16509388	16503376;16508239;16509475	+;+;+	246	0	0	0	0	0	0
ENSG00000273362.1	chr22;chr22;chr22	16521059;16525947;16526975	16521289;16526113;16527237	+;+;+	661	0	0	0	0	0	0
ENSG00000233995.1	chr22;chr22;chr22;chr22;chr22	16572027;16572708;16573044;16573422;16574466	16572150;16572753;16573212;16573527;16574637	+;+;+;+;+	617	0	0	0	0	0	0
ENSG00000239435.2	chr22;chr22;chr22;chr22;chr22	16575363;16580811;16581077;16582507;16582507	16578073;16581287;16581287;16582707;16582602	-;-;-;-;-	3389	0	0	0	2	1	1
ENSG00000198445.4	chr22	16590751	16592810	-	2060	0	0	0	1	2	0
ENSG00000240122.1	chr22	16595089	16595485	-	397	0	0	0	0	0	0
ENSG00000221084.1	chr22	16598717	16598804	-	88	0	0	0	0	1	0
ENSG00000100181.21	chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22	16601887;16601911;16601911;16601948;16602044;16602050;16611658;16611658;16611658;16611658;16612582;16613985;16614077;16614077;16614077;16614699;16619615;16620052;16622841;16622841;16622841;16637020;16637040;16637040;16637040;16638579;16638579;16638579;16638579;16638579;16638579;16639298;16647168;16647605;16647663;16648527;16648527;16648527;16649930;16652322;16652933;16653510;16697496	16602215;16602215;16602215;16602215;16602215;16602215;16611893;16611893;16611893;16611893;16615104;16614333;16615111;16614178;16614178;16615111;16619720;16620160;16622897;16622897;16622897;16637090;16637090;16637090;16637090;16638740;16638980;16638740;16638740;16638740;16638740;16640737;16647257;16647785;16647785;16648830;16653809;16648648;16649961;16652483;16653805;16653692;16698742	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	12081	19	23	20	141	94	122
ENSG00000267338.1	chr22;chr22	16616170;16616746	16616346;16617114	+;+	546	0	0	1	3	4	2
ENSG00000249288.1	chr22;chr22	16645695;16646448	16645813;16646581	-;-	253	0	0	0	2	2	4
ENSG00000249263.2	chr22;chr22	16653892;16659497	16654076;16659628	-;-	317	0	0	0	1	1	2
ENSG00000189295.13	chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22	16654066;16659497;16659858;16661476;16669462;16669464;16670217;16670217;16671518;16671518;16673600;16675123;16675123	16654076;16659628;16659969;16661555;16669620;16669620;16670261;16670261;16671588;16671588;16673752;16675540;16675452	-;-;-;-;-;-;-;-;-;-;-;-;-	1181	0	1	0	3	3	0
ENSG00000259271.1	chr22;chr22;chr22;chr22;chr22;chr22	16671090;16671518;16673600;16675123;16677193;16679292	16671178;16671588;16673752;16676046;16677376;16679493	-;-;-;-;-;-	1623	0	0	0	2	0	1
ENSG00000273244.1	chr22;chr22;chr22;chr22;chr22;chr22;chr22	16676016;16677193;16679292;16690103;16690573;16691975;16694578	16676046;16677376;16679493;16690280;16690616;16692139;16694648	-;-;-;-;-;-;-	875	0	0	0	0	0	0
ENSG00000241717.1	chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22	16690103;16690573;16691975;16694578;16695004;16695242;16696778;16700314;16701154;16702043;16703993;16704309	16690280;16690616;16692139;16694721;16695144;16695358;16698156;16700449;16701312;16702203;16704106;16704477	-;-;-;-;-;-;-;-;-;-;-;-	2907	2	2	4	1	2	0
ENSG00000235343.1	chr22;chr22	16746869;16748276	16747739;16748645	-;-	1241	0	0	0	1	0	0
ENSG00000172967.7	chr22;chr22;chr22;chr22	16783412;16799771;16807739;16821607	16784409;16800024;16808083;16821699	-;-;-;-	1690	0	0	0	3	4	8
ENSG00000229027.3	chr22;chr22;chr22;chr22	16827474;16827551;16828542;16828542	16828060;16828060;16829335;16829209	+;+;+;+	1381	0	0	0	0	0	0
ENSG00000234121.1	chr22	16837522	16837666	+	145	0	0	0	0	0	0
ENSG00000237835.1	chr22	16855804	16856162	+	359	0	0	0	0	0	0
ENSG00000220248.1	chr22	16857619	16860718	-	3100	0	0	0	1	1	0
ENSG00000237689.1	chr22;chr22	16869478;16870776	16869626;16871126	+;+	500	1	3	2	3	0	1
ENSG00000228122.1	chr22	16876218	16876421	-	204	0	0	0	0	0	0
ENSG00000237358.1	chr22	16876552	16876902	-	351	0	0	0	0	0	0
ENSG00000225480.1	chr22	16897445	16897546	+	102	0	0	0	0	0	0
ENSG00000230481.2	chr22;chr22	16904219;16904641	16904516;16904696	-;-	354	0	0	0	0	0	0
ENSG00000253691.2	chr22;chr22	16914235;16914931	16914550;16914981	-;-	367	0	0	0	0	0	0
ENSG00000253460.2	chr22;chr22	16921443;16922125	16921753;16922173	-;-	360	0	0	0	0	0	0
ENSG00000254264.2	chr22;chr22	16925952;16926378	16926197;16926444	-;-	313	0	0	0	0	1	0
ENSG00000253481.2	chr22;chr22	16933521;16933949	16933825;16934003	-;-	360	0	0	0	0	0	0
ENSG00000280156.1	chr22	16950086	17034417	-	84332	1	1	1	4	40	4
ENSG00000215568.7	chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22	16961936;16962460;16963725;16963725;16964766;16964766;16965178;16965178;16966100;16966100;16966100;16967301;16968298;16968298;16968298;16968298;16969943;16987960;16987960;16991873;16991873;16991873;17007941;17007941;17007941	16962876;16962876;16963829;16963829;16964862;16964862;16965268;16965268;16967481;16966183;16966364;16967445;16968383;16968383;16968383;16968383;16970193;16988167;16988116;16992176;16992176;16992176;17008222;17007999;17007999	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3747	0	0	0	0	0	0
ENSG00000270226.1	chr22	17012404	17012932	+	529	0	0	0	0	0	0
ENSG00000276400.1	chr22;chr22	17021398;17022349	17022042;17022570	-;-	867	0	0	0	0	0	0
ENSG00000237438.6	chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22	17036570;17037212;17037239;17037286;17044873;17044873;17044873;17044873;17047324;17047324;17047324;17047324;17056377;17057073;17058015;17060595	17037344;17037344;17037344;17037344;17045000;17045000;17045000;17045000;17047426;17047426;17047426;17047430;17056558;17058792;17060003;17060825	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4354	22	27	32	31	27	24
ENSG00000273203.1	chr22	17067821	17070675	+	2855	7	6	4	3	3	4
ENSG00000273442.1	chr22	17080701	17081456	+	756	0	2	2	0	3	2
ENSG00000177663.13	chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22	17084954;17084959;17084959;17085057;17097062;17097062;17097062;17097797;17097797;17097797;17098775;17098775;17098775;17100355;17100355;17100355;17101996;17101996;17102139;17102139;17103494;17103494;17104726;17104726;17105591;17105591;17105853;17107727;17107727;17108307;17108307	17085229;17085229;17085229;17085229;17097086;17097086;17097509;17097943;17097943;17097943;17098887;17098887;17098887;17100469;17100481;17100481;17102043;17102043;17102302;17102302;17103577;17103577;17104810;17104810;17105602;17105602;17105954;17107768;17107768;17115693;17115694	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	9036	58	65	58	95	71	81
ENSG00000235328.1	chr22	17093612	17093939	-	328	0	1	1	1	1	1
ENSG00000183307.3	chr22;chr22;chr22	17116299;17116300;17121252	17120143;17121253;17121367	-;-;-	5069	26	45	32	9	6	4
ENSG00000235478.4	chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22	17121586;17121595;17122569;17124655;17124655;17130362;17130362;17131615	17122039;17122039;17122738;17124771;17124771;17130443;17130484;17132104	+;+;+;+;+;+;+;+	1354	3	3	1	0	2	0
ENSG00000069998.12	chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22	17137511;17137520;17137522;17137579;17137582;17138550;17138550;17138550;17138550;17141059;17141059;17141059;17141059;17141059;17141393;17143098;17143098;17143098;17145024;17145024;17148448;17148448;17148448;17148449;17149542;17149542;17149542;17158457;17158457;17159126;17159126;17165209	17138357;17138357;17138357;17138357;17138357;17138738;17138738;17138738;17138738;17141233;17141233;17143647;17141233;17141233;17141843;17143131;17143131;17143131;17145117;17145117;17148560;17148560;17148560;17148560;17149745;17149745;17149745;17158986;17159168;17159277;17159255;17165287	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4936	30	44	33	127	82	139
ENSG00000185837.3	chr22;chr22;chr22;chr22	17159384;17159399;17165269;17165269	17159551;17159837;17165445;17165439	+;+;+;+	631	0	2	2	1	2	1
ENSG00000093072.15	chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22	17178790;17178790;17178790;17179304;17179306;17179306;17181820;17181820;17181820;17181820;17181820;17181820;17182604;17182604;17182604;17182604;17182604;17182604;17182641;17188339;17188339;17188339;17188339;17188339;17188339;17188339;17189784;17189942;17189942;17189942;17189942;17189942;17189942;17191683;17191683;17191683;17191683;17191683;17191683;17191683;17198599;17199549;17203563;17203563;17203563;17203563;17203563;17207071;17207071;17207071;17207071;17207071;17207157;17207206;17209356;17209356;17209356;17209356;17209356;17209356;17219356;17219356;17219356;17221727;17221727;17221727	17181576;17181576;17181576;17181576;17181576;17181576;17182022;17182022;17182022;17182022;17182022;17182022;17182761;17182761;17182761;17182761;17182761;17182761;17182761;17188447;17188727;17188447;17188447;17188447;17188447;17188447;17190032;17190032;17190032;17190032;17190032;17190032;17190032;17191810;17191810;17191810;17191810;17191810;17191810;17191810;17198791;17199783;17203773;17203773;17203773;17203773;17203773;17207290;17207290;17207290;17207290;17207290;17207290;17207290;17209685;17209889;17209690;17209723;17209723;17209598;17219585;17219585;17219435;17221854;17221989;17221854	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5800	30	28	32	39	35	22
ENSG00000236325.1	chr22	17192936	17193308	+	373	0	0	0	1	0	0
ENSG00000203416.3	chr22;chr22	17213516;17214064	17213756;17214155	+;+	333	0	1	0	0	0	0
ENSG00000241832.1	chr22;chr22;chr22	17256859;17260790;17266523	17258306;17261045;17266733	-;-;-	1915	1	0	1	0	1	0
ENSG00000231004.2	chr22	17329034	17329232	+	199	0	0	0	0	0	0
ENSG00000239547.3	chr22	17352881	17353177	-	297	0	0	0	0	0	0
ENSG00000099954.18	chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22	17359949;17369366;17369888;17428273;17477093;17477588;17477588;17477588;17477588;17477588;17497403;17497403;17497403;17497403;17497403;17499410;17499410;17499410;17499410;17499410;17500631;17500631;17500631;17500631;17503082;17503082;17503082;17503082;17504847;17504847;17504847;17504847;17511813;17511813;17511813;17511813;17524118;17524118;17524118;17524118;17534744;17537103;17537103;17537103;17537103;17538520;17538520;17538520;17538520;17538640;17538640;17538640;17538640;17538993;17538993;17538993;17538993;17540412;17540412;17540412;17540412;17541839;17541839;17541839;17541839;17542157;17542157;17542157;17542157;17548148;17548148;17548148;17548151;17548999;17550243;17552031;17552031;17552031;17552031;17552031;17552835;17552835;17552835;17552835;17552835	17360023;17369909;17369909;17428540;17477159;17477682;17477682;17477682;17477682;17477682;17497586;17497586;17497586;17497586;17497586;17499549;17499549;17499549;17499549;17499458;17500735;17500735;17500735;17500735;17503131;17503131;17503131;17503131;17505016;17505016;17505016;17505016;17511896;17511896;17511896;17511896;17524327;17524271;17524271;17524271;17534747;17537232;17537232;17537232;17537232;17538557;17538557;17538557;17538557;17538731;17538731;17538731;17538731;17539119;17539119;17539119;17539119;17540800;17540800;17540800;17540800;17541967;17541967;17541967;17541967;17543003;17543003;17543003;17543003;17549564;17549564;17549564;17549564;17549564;17550409;17552142;17552142;17552142;17552142;17552142;17553332;17558149;17554133;17553332;17554145	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	10759	115	88	119	119	81	98
ENSG00000229492.1	chr22	17418697	17419828	+	1132	1	5	1	0	1	1
ENSG00000232305.1	chr22	17424388	17424775	-	388	1	2	0	0	0	0
ENSG00000228045.1	chr22	17518676	17519029	-	354	0	0	0	0	0	0
ENSG00000182902.13	chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22	17563439;17563450;17563464;17563589;17569701;17569707;17569924;17569924;17569924;17569924;17579745;17579745;17579745;17579745;17581037;17581037;17581037;17581358;17581358;17581358;17581358;17582563;17582563;17582563;17583416;17583416;17583416;17587136;17587136;17587925;17587925;17589590;17589590;17590095;17590095	17563713;17563713;17563713;17563713;17569986;17569796;17570393;17569986;17570256;17569986;17579964;17579964;17581159;17579964;17581159;17581159;17581159;17581413;17582208;17581413;17581413;17582653;17582653;17582653;17583534;17583534;17583484;17587301;17587301;17588079;17588079;17589665;17589665;17590994;17590881	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4741	100	111	74	6	8	7
ENSG00000236754.5	chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22	17580157;17580314;17581334;17581334;17582251;17585265;17587867;17587867	17580331;17580331;17581548;17581548;17582372;17585386;17589192;17588018	-;-;-;-;-;-;-;-	1960	1	2	1	1	2	3
